iter	Passed	Remaining
698	1405	605
699	1406	602
700	1407	600
701	1411	599
702	1413	597
703	1415	595
704	1416	592
705	1417	590
706	1419	588
707	1420	585
708	1421	583
709	1422	581
710	1424	579
711	1426	576
712	1427	574
713	1429	572
714	1431	570
715	1432	568
716	1434	566
717	1435	563
718	1436	561
719	1437	559
720	1439	557
721	1441	555
722	1443	553
723	1446	551
724	1448	549
725	1449	547
726	1451	544
727	1452	542
728	1454	540
729	1456	538
730	1459	536
731	1460	534
732	1461	532
733	1463	530
734	1464	527
735	1465	525
736	1467	523
737	1470	522
738	1472	519
739	1473	517
740	1475	515
741	1476	513
742	1478	511
743	1479	509
744	1480	506
745	1481	504
746	1482	502
747	1484	500
748	1486	498
749	1487	495
750	1489	493
751	1490	491
752	1491	489
753	1492	487
754	1493	484
755	1494	482
756	1495	480
757	1500	479
758	1502	476
759	1503	474
760	1505	472
761	1506	470
762	1507	468
763	1508	465
764	1509	463
765	1510	461
766	1512	459
767	1513	457
768	1515	455
769	1516	452
770	1517	450
771	1519	448
772	1520	446
773	1521	444
774	1522	442
775	1523	439
776	1524	437
777	1525	435
778	1527	433
779	1530	431
780	1531	429
781	1532	427
782	1534	425
783	1535	423
784	1537	421
785	1538	418
786	1539	416
787	1540	414
788	1543	412
789	1545	410
790	1546	408
791	1548	406
792	1549	404
793	1550	402
794	1551	400
795	1552	397
796	1554	395
797	1555	393
798	1557	391
799	1559	389
800	1560	387
801	1562	385
802	1563	383
803	1565	381
804	1566	379
805	1567	377
806	1569	375
807	1570	373
808	1572	371
809	1573	369
810	1575	367
811	1576	365
812	1577	362
813	1579	360
814	1580	358
815	1581	356
816	1582	354
817	1583	352
818	1584	350
819	1585	348
820	1587	346
821	1589	344
822	1590	342
823	1592	340
824	1593	338
825	1594	335
826	1596	333
827	1597	331
828	1598	329
829	1599	327
830	1600	325
831	1602	323
832	1603	321
833	1605	319
834	1606	317
835	1608	315
836	1609	313
837	1610	311
838	1611	309
839	1612	307
840	1612	304
841	1616	303
842	1618	301
843	1619	299
844	1621	297
845	1622	295
846	1623	293
847	1624	291
848	1625	289
849	1626	287
850	1627	284
851	1629	282
852	1630	281
853	1632	279
854	1633	277
855	1635	275
856	1636	272
857	1636	270
858	1637	268
859	1638	266
860	1639	264
861	1640	262
862	1641	260
863	1643	258
864	1644	256
865	1647	254
866	1648	252
867	1649	250
868	1650	248
869	1651	246
870	1652	244
871	1653	242
872	1654	240
873	1655	238
874	1656	236
875	1657	234
876	1660	232
877	1661	230
878	1662	228
879	1664	226
880	1665	224
881	1666	222
882	1667	220
883	1668	218
884	1669	216
885	1670	214
886	1671	212
887	1672	210
888	1674	209
889	1675	207
890	1678	205
891	1679	203
892	1680	201
893	1681	199
894	1682	197
895	1683	195
896	1684	193
897	1685	191
898	1687	189
899	1690	187
900	1691	185
901	1692	183
902	1694	182
903	1695	180
904	1696	178
905	1697	176
906	1698	174
907	1699	172
908	1700	170
909	1702	168
910	1704	166
911	1706	164
912	1707	162
913	1708	160
914	1709	158
915	1710	156
916	1712	154
917	1713	153
918	1714	151
919	1715	149
920	1716	147
921	1718	145
922	1719	143
923	1721	141
924	1722	139
925	1723	137
926	1724	135
927	1725	133
928	1727	132
929	1728	130
930	1729	128
931	1730	126
932	1733	124
933	1735	122
934	1737	120
935	1738	118
936	1739	116
937	1741	115
938	1742	113
939	1742	111
940	1743	109
941	1744	107
942	1746	105
943	1748	103
944	1749	101
945	1751	99
946	1752	98
947	1753	96
948	1754	94
949	1756	92
950	1757	90
951	1758	88
952	1759	86
953	1760	84
954	1762	83
955	1763	81
956	1765	79
957	1766	77
958	1767	75
959	1768	73
960	1770	71
961	1771	69
962	1772	68
963	1773	66
964	1774	64
965	1776	62
966	1778	60
967	1780	58
968	1782	57
969	1783	55
970	1785	53
971	1786	51
972	1787	49
973	1788	47
974	1790	45
975	1792	44
976	1794	42
977	1796	40
978	1797	38
979	1799	36
980	1800	34
981	1802	33
982	1803	31
983	1804	29
984	1806	27
985	1808	25
986	1811	23
987	1813	22
988	1815	20
989	1816	18
990	1818	16
991	1823	14
992	1827	12
993	1828	11
994	1830	9
995	1831	7
996	1832	5
997	1833	3
998	1834	1
999	1836	0
